sites.google.com	DROP	US	Google Sites	other
news.google.com	DROP	US	Google News	aggregator
google.com	DROP	US	Google	aggregator
finance.yahoo.com	DROP	US	Yahoo Finance	aggregator
news.yahoo.com	DROP	US	Yahoo News	aggregator
msn.com	DROP	US	MSN	aggregator
umdsbs.wordpress.com	DROP	US	Stories Beneath the Shell	other
web.archive.org	DROP	US	Internet Archive	aggregator
nytimes.com	KEEP	US	The New York Times	
medium.com	DROP	US	Medium	aggregator
cnn.com	KEEP	US	CNN	
forbes.com	KEEP	US	Forbes	
weather.com	DROP	US	The Weather Channel	notnews
reuters.com	KEEP	US	Reuters	
cdc.gov	DROP	US	Centers for Disease Control and Prevention	other
wwwnc.cdc.gov	DROP	US	Emerging Infectious Diseases	journal
issuu.com	DROP	US	Issuu	aggregator
wsj.com	KEEP	US	Wall Street Journal	
washingtonpost.com	KEEP	US	Washington Post	
bloomberg.com	KEEP	US	Bloomberg	
businessinsider.com	KEEP	US	Business Insider	
espn.com	KEEP	US	ESPN	
jessica.substack.com	DROP	US	All in Her Head	other
abcnews.go.com	KEEP	US	ABC News	
cnbc.com	KEEP	US	CNBC	
npr.org	KEEP	US	NPR	
fandom.com	DROP	US	Fandom	other
foxnews.com	KEEP	US	Fox News	
wired.com	KEEP	US	Wired	
usatoday.com	KEEP	US	USA Today	
time.com	KEEP	US	TIME	
news.cornell.edu	DROP	US	Cornell Chronicle	notnews
hdl.loc.gov	DROP	US	Library of Congress	aggregator
chroniclingamerica.loc.gov	DROP	US	Chronicling America	aggregator
loc.gov	DROP	US	Library of Congress	aggregator
stacks.loc.gov	DROP	US	Library of Congress	aggregator
techcrunch.com	KEEP	US	TechCrunch	
cbsnews.com	KEEP	US	CBS News	
cnet.com	KEEP	US	CNET	
apnews.com	KEEP	US	Associated Press	
people.com	KEEP	US	People	
theverge.com	KEEP	US	The Verge	
nbcnews.com	KEEP	US	NBC News	
chess.com	DROP	US	Chess.com	notnews
latimes.com	KEEP	US	Los Angeles Times	
genius.com	DROP	US	Genius	notnews
nationalgeographic.com	DROP	US	National Geographic	notnews
theatlantic.com	KEEP	US	The Atlantic	
pbs.org	KEEP	US	PBS	
huffpost.com	KEEP	US	HuffPost	
nypost.com	KEEP	US	New York Post	
fortune.com	KEEP	US	Fortune	
jstor.org	DROP	US	JSTOR	aggregator
daily.jstor.org	DROP	US	JSTOR Daily	notnews
usnews.com	KEEP	US	U.S. News & World Report	
newsweek.com	KEEP	US	Newsweek	
newyorker.com	KEEP	US	The New Yorker	
zdnet.com	KEEP	US	ZDNET	
marketwatch.com	KEEP	US	MarketWatch	
vice.com	KEEP	US	Vice	
arstechnica.com	KEEP	US	Ars Technica	
fastcompany.com	KEEP	US	Fast Company	
gizmodo.com	KEEP	US	Gizmodo	
politico.com	KEEP	US	Politico	
mashable.com	KEEP	US	Mashable	
ign.com	DROP	US	IGN	notnews
engadget.com	KEEP	US	Engadget	
ufdc.ufl.edu	DROP	US	University of Florida Digital Collections	aggregator
variety.com	KEEP	US	Variety	
vox.com	KEEP	US	Vox	
axios.com	KEEP	US	Axios	
slate.com	KEEP	US	Slate	
rollingstone.com	KEEP	US	Rolling Stone	
sfgate.com	KEEP	US	SFGATE	
qz.com	KEEP	US	Quartz	
technologyreview.com	KEEP	US	MIT Technology Review	
wildcat.arizona.edu	KEEP	US	Arizona Daily Wildcat	
thehill.com	KEEP	US	The Hill	
hollywoodreporter.com	KEEP	US	Hollywood Reporter	
bizjournals.com	KEEP	US	The Business Journals	
pittsburgh.bizjournals.com	KEEP	US	Pittsburgh Business Times	
birmingham.bizjournals.com	KEEP	US	Birmingham Business Journal	
chicagotribune.com	KEEP	US	Chicago Tribune	
lakeforest.chicagotribune.com	DROP	US	Lake Forester	defunct
venturebeat.com	KEEP	US	VentureBeat	
newspapers.sos.wa.gov	DROP	US	Washington Digital Newspapers	aggregator
discovery.com	DROP	US	Discovery	notnews
vogue.com	DROP	US	Vogue	notnews
tmz.com	KEEP	US	TMZ	
thedailybeast.com	KEEP	US	The Daily Beast	
si.com	KEEP	US	Sports Illustrated	
foxsports.com	KEEP	US	Fox Sports	
nymag.com	KEEP	US	New York Magazine	
voanews.com	KEEP	US	Voice of America	
deadline.com	KEEP	US	Deadline	
vanityfair.com	KEEP	US	Vanity Fair	
advertiserdemocrat.com.com	DROP	US	The Advertiser Democrat	other
njjewishnews.timesofisrael.com	DROP	US	New Jersey Jewish News	other
salon.com	KEEP	US	Salon	
boston.com	KEEP	US	Boston.com	
nydailynews.com	KEEP	US	New York Daily News	
search.proquest.com	DROP	US	ProQuest	aggregator
gateway.proquest.com	DROP	US	ProQuest	aggregator
digitalmicrofilm1.proquest.com	DROP	US	ProQuest	aggregator
proquest.com	DROP	US	ProQuest	aggregator
gradynewsource.uga.edu	KEEP	US	Grady Newsource	
stlow.iii.com	DROP	US	Innovative Interfaces	aggregator
space.com	KEEP	US	Space.com	
coindesk.com	KEEP	US	CoinDesk	
bostonglobe.com	KEEP	US	Boston Globe	
hdl.handle.net	DROP	US	Handle System	aggregator
seattletimes.com	KEEP	US	Seattle Times	
umass.edu	DROP	US	University of Massachusetts Amherst	other
oregonnews.uoregon.edu	DROP	US	Historic Oregon Newspapers	aggregator
macrumors.com	KEEP	US	MacRumors	
propublica.org	KEEP	US	ProPublica	
resolver.library.ualberta.ca	DROP	US	University of Alberta Library	aggregator
foreignpolicy.com	KEEP	US	Foreign Policy	
barrons.com	KEEP	US	Barron's	
msnbc.com	KEEP	US	MSNBC	
ap.org	DROP	US	Associated Press	other
universe.byu.edu	KEEP	US	The Universe	
bleacherreport.com	KEEP	US	Bleacher Report	
lexisnexis.com	DROP	US	LexisNexis	aggregator
gallica.bnf.fr	DROP	US	Gallica	aggregator
washingtontimes.com	KEEP	US	Washington Times	
miamiherald.com	KEEP	US	Miami Herald	
mercurynews.com	KEEP	US	Mercury News	
cdnc.ucr.edu	DROP	US	California Digital Newspaper Collection	aggregator
bleepingcomputer.com	KEEP	US	BleepingComputer	
dallasnews.com	KEEP	US	The Dallas Morning News	
csmonitor.com	KEEP	US	The Christian Science Monitor	
upi.com	KEEP	US	United Press International	
breitbart.com	KEEP	US	Breitbart	
startribune.com	KEEP	US	Star Tribune	
nj.com	KEEP	US	NJ.com	
theepochtimes.com	KEEP	US	The Epoch Times	
bibpurl.oclc.org	DROP	US	OCLC	aggregator
liverpool.idm.oclc.org	DROP	US	OCLC	aggregator
newfirstsearch.oclc.org	DROP	US	OCLC FirstSearch	aggregator
0-nouveau.europresse.com.pugwash.lib.warwick.ac.uk	DROP	US	Europresse	aggregator
0-www.bpe.europresse.com.pugwash.lib.warwick.ac.uk	DROP	US	Europresse	aggregator
0-www.nexis.com.pugwash.lib.warwick.ac.uk	DROP	US	Nexis	aggregator
9to5mac.com	KEEP	US	9to5Mac	
search.ebscohost.com	DROP	US	EBSCOhost	aggregator
ebscohost.com	DROP	US	EBSCOhost	aggregator
boingboing.net	KEEP	US	Boing Boing	
motherjones.com	KEEP	US	Mother Jones	
pagesix.com	KEEP	US	Page Six	
eonline.com	KEEP	US	E! News	
chicago.suntimes.com	KEEP	US	Chicago Sun-Times	
