amazon.co.uk	KEEP	UK	Amazon UK
ebay.co.uk	KEEP	UK	eBay UK
argos.co.uk	KEEP	UK	Argos
tesco.com	KEEP	UK	Tesco
next.co.uk	KEEP	UK	Next
johnlewis.com	KEEP	UK	John Lewis
marksandspencer.com	KEEP	UK	Marks & Spencer
vinted.co.uk	KEEP	UK	Vinted UK
swarovski.com	KEEP	UK	Swarovski
sainsburys.co.uk	KEEP	UK	Sainsbury's
diy.com	KEEP	UK	B&Q
rs-online.com	KEEP	UK	RS
currys.co.uk	KEEP	UK	Currys
very.co.uk	KEEP	UK	Very
sportsdirect.com	KEEP	UK	Sports Direct
smythstoys.com	KEEP	UK	Smyths Toys
dunelm.com	KEEP	UK	Dunelm
newlook.com	KEEP	UK	New Look
tkmaxx.com	KEEP	UK	TK Maxx
boots.com	KEEP	UK	Boots
therange.co.uk	KEEP	UK	The Range
waterstones.com	KEEP	UK	Waterstones
mandmdirect.com	KEEP	UK	MandM Direct
gumtree.com	DROP	UK	Gumtree	notretail
asda.com	KEEP	UK	Asda
vestiairecollective.com	KEEP	UK	Vestiaire Collective
screwfix.com	KEEP	UK	Screwfix
abebooks.co.uk	KEEP	UK	AbeBooks UK
primark.com	KEEP	UK	Primark
rituals.com	KEEP	UK	Rituals
shein.co.uk	KEEP	UK	Shein UK
halfords.com	KEEP	UK	Halfords
lush.com	KEEP	UK	Lush
deichmann.com	KEEP	UK	Deichmann
farnell.com	KEEP	UK	Farnell
decathlon.co.uk	KEEP	UK	Decathlon UK
jdsports.co.uk	KEEP	UK	JD Sports
riverisland.com	KEEP	UK	River Island
charlestyrwhitt.com	KEEP	UK	Charles Tyrwhitt
wickes.co.uk	KEEP	UK	Wickes
superdrug.com	KEEP	UK	Superdrug
matalan.co.uk	KEEP	UK	Matalan
qvcuk.com	KEEP	UK	QVC UK
selfridges.com	KEEP	UK	Selfridges
lookfantastic.com	KEEP	UK	LookFantastic
debenhams.com	KEEP	UK	Debenhams
ocado.com	KEEP	UK	Ocado
bershka.com	KEEP	UK	Bershka
blackwells.co.uk	KEEP	UK	Blackwell's
waitrose.com	KEEP	UK	Waitrose
cos.com	KEEP	UK	COS
harrods.com	KEEP	UK	Harrods
morrisons.com	KEEP	UK	Morrisons
onbuy.com	KEEP	UK	OnBuy
hollandandbarrett.com	KEEP	UK	Holland & Barrett
elementgames.co.uk	KEEP	UK	Element Games
ao.com	KEEP	UK	AO
massimodutti.com	KEEP	UK	Massimo Dutti
nintendo.co.uk	KEEP	UK	Nintendo UK
wayfair.co.uk	KEEP	UK	Wayfair UK
worldofbooks.com	KEEP	UK	World of Books
autodoc.co.uk	KEEP	UK	Autodoc UK
overclockers.co.uk	KEEP	UK	Overclockers UK
juno.co.uk	KEEP	UK	Juno Records
adidas.co.uk	KEEP	UK	Adidas UK
fatface.com	KEEP	UK	FatFace
